GeneID,log2FC_dat_ev,padj_dat_ev,log2FC_dat_rna,padj_dat_rna,log2FC_dat_ox,padj_dat_ox,log2FC_dat_rna_lp,padj_dat_rna_lp,log2FC_dat_ox_lp,padj_dat_ox_lp,log2FC_dat_rna_op,padj_dat_rna_op,log2FC_dat_ox_op,padj_dat_ox_op
Phvul.003G051801.1,2.62395301290592,3.81801062094586e-9,2.3959894520898,3.61179732846289e-6,1.04806426830983,1.06436404920949e-18,NA,NA,1.49493198367309,0.00023951004383092399,NA,NA,3.08573952131911,5.58337751015397e-61
Phvul.002G270700.1,2.58419552195495,2.19057929844585e-29,1.94750514154166,1.11951356594058e-6,NA,NA,NA,NA,NA,NA,1.02641998408528,0.0129468050709949,2.1936501933892,1.16427332056252e-40
Phvul.003G028000.1,2.57364220377981,3.26403435402616e-17,2.07080401336883,3.15694787113996e-10,NA,NA,NA,NA,NA,NA,1.11042626807043,0.00142897268685064,2.18558528624161,2.54746106893657e-21
Phvul.011G050200.1,2.57191874958793,1.41308051805066e-26,1.72295155723608,7.25143628918749e-10,NA,NA,NA,NA,-1.1782231540534,1.55242784220432e-5,1.14518756451025,4.81897041465866e-4,2.21146341912007,6.40114725569614e-27
Phvul.001G090900.1,2.56106299955305,2.82618936136618e-5,1.3545361996104,0.0316120142245355,NA,NA,NA,NA,NA,NA,NA,NA,1.79025509903659,0.00486369088887971
Phvul.002G304200.1,2.54723766905153,3.90885537052802e-23,2.09050145419192,2.78108252371359e-6,1.27729751046347,8.36345624563936e-44,NA,NA,NA,NA,NA,NA,1.49041107798582,6.234708167637e-21
Phvul.003G164900.1,2.54057954916851,7.22027015303404e-11,2.5114183634493,5.45415067376467e-33,1.50518188506424,2.83476645451932e-26,NA,NA,NA,NA,NA,NA,1.2536894554342,1.69666650117978e-12
Phvul.006G168190.1,2.5362913129152,1.18702769877988e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64346093654185,4.66191449813046e-8
Phvul.005G054100.1,2.52872702675683,8.02731726442684e-10,NA,NA,2.62022483972614,3.72126044280901e-89,NA,NA,1.69467379912378,5.16688460494402e-19,NA,NA,1.61733640393388,1.11479691355145e-5
Phvul.008G228000.1,2.49433526969061,0.00526416550549538,2.37216089536395,0.00505396898184636,1.84607919730427,4.39704785669935e-4,NA,NA,NA,NA,NA,NA,1.47329203516943,0.00880636677548078
Phvul.006G012501.1,2.47227492988882,1.38028357820009e-12,3.80112425906409,1.26985799388333e-5,1.33050438111635,7.95274234256083e-20,NA,NA,NA,NA,-1.33429880913212,0.00922773274698958,1.8355631789485,1.24583330258362e-16
Phvul.011G048700.2,2.44239913747804,6.79837937509904e-41,2.58967596645851,2.27280491882015e-5,1.48894771608634,4.11510741622297e-55,NA,NA,NA,NA,NA,NA,1.92447426391405,1.35825912195724e-38
Phvul.004G129400.1,2.43889250194104,5.55072308866178e-8,4.09871797118959,3.66131094947619e-6,2.62456777747233,9.92601006667237e-9,NA,NA,1.43975660105541,1.924348947732e-4,NA,NA,1.26525399832972,0.00858967966010151
Phvul.007G273000.1,2.43258827492577,8.71575287981569e-8,NA,NA,NA,NA,NA,NA,-1.35294422223615,0.00216874185737172,1.63061729963964,0.00330720234892911,NA,NA
Phvul.002G231400.1,2.42334065951871,0.0107745712784246,5.78645264937618,0.00149036931451195,2.42734806194029,8.70424929006175e-10,NA,NA,NA,NA,-4.63496790867719,3.52477392950574e-14,1.3346441433215,8.57377121967208e-6
Phvul.002G107700.1,2.38913475330253,4.19495967939283e-10,1.06595152836976,2.67498509338653e-5,NA,NA,NA,NA,NA,NA,1.72761213772856,3.31790416955181e-6,1.40530335126856,4.60208953240294e-6
Phvul.002G231600.1,2.37286136209397,2.59172275676007e-5,NA,NA,2.01137340492998,8.14337139350888e-5,NA,NA,NA,NA,-3.35774598707907,0.0494845749359251,1.18861017517019,6.70061158032864e-4
Phvul.003G278400.1,2.32512959633381,1.80899062973038e-9,3.23838498215237,7.4462408606922e-15,NA,NA,1.42631708148534,0.0165787592402076,NA,NA,NA,NA,2.17343784453171,3.86987116670632e-9
Phvul.011G016200.1,2.31755818722999,2.32838953298997e-4,NA,NA,3.63341229972616,1.9710261784984e-32,NA,NA,1.86069416420385,4.50386939807404e-6,NA,NA,NA,NA
Phvul.010G125300.1,2.31162696499705,5.12908938244572e-5,3.75821852538846,6.42150143821051e-7,2.42213687087922,2.08290491609368e-9,NA,NA,NA,NA,-2.75597421508176,2.88632105353691e-6,NA,NA
Phvul.001G210400.1,2.31075320166812,1.8351009455232e-5,NA,NA,3.15527819348786,1.58824483140419e-24,NA,NA,2.00913018889739,3.94759000143292e-6,NA,NA,1.18235586974127,0.0370447150657787
Phvul.009G189000.1,2.30154992403499,7.15792071077788e-15,2.39045609988986,3.45088165957395e-4,NA,NA,NA,NA,1.09011735219657,2.22851904136948e-4,NA,NA,3.03240597831589,1.66393895877292e-194
Phvul.005G058000.1,2.28438661049247,3.90559108861961e-6,1.47038942825743,6.38080177564901e-4,2.37226677172209,2.3821232695929e-27,NA,NA,NA,NA,NA,NA,NA,NA
Phvul.011G016300.1,2.27896348006313,4.16131090944854e-14,2.3557831305838,8.33945715167873e-65,1.50481476040355,1.9898633714484e-50,NA,NA,NA,NA,NA,NA,1.16142216945723,6.31394724443082e-14
Phvul.008G151400.1,2.27431738360962,0.00156638180092116,1.97507760225175,0.0106992631647188,1.80556604591697,3.86223236524038e-10,NA,NA,NA,NA,NA,NA,1.30902388792721,0.0130144634289228
Phvul.001G065300.1,2.26034495873438,7.22226906783327e-4,1.81830741891969,3.45847459805525e-6,NA,NA,NA,NA,NA,NA,NA,NA,2.25217317265081,0.00512991244192167
Phvul.011G189300.1,2.25166505868773,1.21225535103389e-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37299797552383,4.3650464994197e-30
